country,gymnast,VT,UB,BB,FX,competition
ROMANIA,Larisa Iordache
RUSSIA,Elena Eremina
UNITED STATES,Ragan Smith
CHINA,Tingting Liu
CHINA,Huan Luo
CHINA,Yan Wang
JAPAN,Mai Murakami
RUSSIA,Angelina Melnikova
BRAZIL,Rebeca Andrade
UNITED STATES,Morgan Hurd
JAPAN,Asuka Teramoto
GERMANY,Tabea Alt,14.5,14.2,13.1,12.8,German Worlds Trials
